source,reference,tamil_script,ai_output,category
Election results eppo varum nu theriyuma?,Do you know when the election results will come?,Eலேச்திஓந் ரேஸுல்த்ஸ் ஏப்போ வரும் நு தேரியும?,When will the results come?,
Intha kootani set aaguma nu papom,Let's see if this alliance works out.,ஈந்த கூதநி ஸேத் ஆகும நு பபோம்,Eanda Kudani Seth Aukuma Nu Babom,
Police enquiry start pannitangala?,Has the police enquiry started?,Pஓலிசே ஏந்ஃ'குஇர்ய் ஸ்தர்த் பந்நிதந்கல?,What is the police?,
Ivlo naal enga poitinga bro?,"Where did you go all these days, bro?",ஈவ்லோ நால் ஏந்க போஇதிந்க ப்ரோ?,Ewlo Nall Enka Poitinka Bro?,
News channel la ithu thaan oduthu,This is what's running on the news channels.,ணேவ்ஸ் சந்நேல் ல இது தாந் ஓதுது,It read itself in Navs channel,
Public opinion eppidi iruku?,How is the public opinion?,Pஉப்லிச் ஓபிநிஓந் ஏப்பிதி இருகு?,What is a published opinion?,
Truth seekiram veliya varum,The truth will come out soon.,ட்ருத் ஸீகிரம் வேலிய வரும்,The truth will come out soon,
Inniku night 8 maniku live iruka?,Is there a live session tonight at 8 PM?,ஈந்நிகு நிக்த் ௮ மநிகு லிவே இருக?,Einiku nikth ௮ maniku liwe be?,
Social media la ithu thaan trend,This is the trend on social media.,ஷோசிஅல் மேதிஅ ல இது தாந் த்ரேந்த்,It's trending on social media,
Vibe aaguthu intha song!,This song gives a good vibe!,Vஇபே ஆகுது இந்த ஸோந்க்!,This site is eBay!,
Enna bro sudden ah plan change panitinga?,"Why did you change the plan so suddenly, bro?",Eந்ந ப்ரோ ஸுத்தேந் அஹ் ப்லந் சந்கே பநிதிந்க?,En pro suten ah plan sanke panithinka?,
Intha update semma mass ah iruku.,This update is really mass.,ஈந்த உப்ததே ஸேம்ம மஸ்ஸ் அஹ் இருகு।,Einda update semma mass ah iruku.,
"Work load romba jasthi, stress ah iruku.","The work load is too much, it's stressful.","Wஓர்க் லோஅத் ரோம்ப ஜஸ்தி, ஸ்த்ரேஸ்ஸ் அஹ் இருகு।","W ork loath romba jasti, stresses ah iruku.",
Lunch ku enna menu innaiku?,What's the menu for lunch today?,ளுந்ச் கு ஏந்ந மேநு இந்நைகு?,What is the menu for lunch?,
Tomorrow leave ah bro ungaluku?,"Is tomorrow a holiday for you, bro?",டோமோர்ரோவ் லேஅவே அஹ் ப்ரோ உந்கலுகு?,TOMORROW LAYAWAY Ah Bro Ungaluku?,
Intha hotel la food quality nalla iruku,The food quality is good in this hotel.,ஈந்த ஹோதேல் ல ஃபூத் ஃ'குஅலித்ய் நல்ல இருகு,The food and quality of the hotel is good,
Online orders romba late aaguthu,Online orders are getting very late.,Oந்லிநே ஓர்தேர்ஸ் ரோம்ப லதே ஆகுது,Online orders are available,
Google maps la route wrong ah kaatuthu,Google Maps is showing the wrong route.,ஃக³ூக்லே மப்ஸ் ல ரோஉதே வ்ரோந்க் அஹ் காதுது,Fo³ugle mubs la roude wronk ah khatutu,
Enaku konjam help panna mudiyuma?,Can you help me a bit?,Eநகு கோந்ஜம் ஹேல்ப் பந்ந முதியும?,Is Naku Gonjam Help Panna Muthuyum?,
Intha project work mudika innum 2 days aagum.,It will take 2 more days to finish this project work.,ஈந்த ப்ரோஜேச்த் வோர்க் முதிக இந்நும் ௨ தய்ஸ் ஆகும்।,The duration of project work is 2 Thais.,
"Bike service ku vuturuken, evening thaan kidaikum.","I have left my bike for service, I will get it only in the evening.","Bஇகே ஸேர்விசே கு வுதுருகேந், ஏவேநிந்க் தாந் கிதைகும்।","BK Service Ku Wuduruken, Avenink Than Kithaikum.",
Intha project work mudika innum 2 days aagum.,It will take 2 more days to finish this project work.,ஈந்த ப்ரோஜேச்த் வோர்க் முதிக இந்நும் ௨ தய்ஸ் ஆகும்।,The duration of project work is 2 Thais.,
"Bike service ku vuturuken, evening thaan kidaikum.","I have left my bike for service, I will get it only in the evening.","Bஇகே ஸேர்விசே கு வுதுருகேந், ஏவேநிந்க் தாந் கிதைகும்।","BK Service Ku Wuduruken, Avenink Than Kithaikum.",
"Current cut aayiduchi, fan kuda odala.","The power went out, even the fan isn't working.","சுர்ரேந்த் சுத் ஆயிதுசி, ஃபந் குத ஓதல।","Surrend Sud Aaidusi, Fan Kuta Othala.",
"Inniku office la romba tension, manager thittite irukaru.","Too much tension at the office today, the manager keeps scolding.","ஈந்நிகு ஓஃப்ஃபிசே ல ரோம்ப தேந்ஸிஓந், மநகேர் தித்திதே இருகரு।","Enniku office la romba tensione, managere titithe irugaru.",
"Amazon prime la puthu movie vanthuruku, paathiya?","A new movie has come out on Amazon Prime, did you watch it?","ஆமஃஜோந் ப்ரிமே ல புது மோவிஏ வந்துருகு, பாதிய?","A new movie is coming to Amazon Prime, right?",
"Signal kidaikala, voice break aaguthu.","I'm not getting signal, your voice is breaking.","ஷிக்நல் கிதைகல, வோஇசே ப்ரேஅக் ஆகுது।","Shiknal Kithaigala, voise praek.",
Meeting eppo start aagum nu notification varala.,I didn't get a notification about when the meeting starts.,ம்ஈதிந்க் ஏப்போ ஸ்தர்த் ஆகும் நு நோதிஃபிசதிஓந் வரல।,Meethink apo sthardh is nu notifisatione varala.,
Oru nalla laptop suggest pannunga bro.,"Please suggest a good laptop, bro.",Oரு நல்ல லப்தோப் ஸுக்கேஸ்த் பந்நுந்க ப்ரோ।,A good laptop is Sukhest Pannungka Pro.,
Intha dress unaku nalla suit aaguthu.,This dress suits you well.,ஈந்த த்ரேஸ்ஸ் உநகு நல்ல ஸுஇத் ஆகுது।,Eanda threads are a good suit for you.,
Exam results pathu romba happy ah iruken.,I am very happy after seeing the exam results.,Eக்ஷம் ரேஸுல்த்ஸ் பது ரோம்ப ஹப்ப்ய் அஹ் இருகேந்।,Eksham rasults ten rompa habby ah irukhen.,
Bus stand ku eppidi ponum nu sollu.,Tell me how to go to the bus stand.,Bஉஸ் ஸ்தந்த் கு ஏப்பிதி போநும் நு ஸோல்லு।,B us stand ku aepidi ponum nu zollu.,
Inniku dinner ku veliya polama?,Shall we go out for dinner today?,ஈந்நிகு திந்நேர் கு வேலிய போலம?,Einniku Thinner Ku Veliya Polama?,
"Paytm la money send panniten, check panniko.","I sent the money via Paytm, please check it.","Pஅய்த்ம் ல மோநேய் ஸேந்த் பந்நிதேந், சேச்க் பந்நிகோ।","Paytm La Monei Sent Pannithen, Sechk Panniko.",
Intha mobile camera quality semmaya iruku.,This mobile camera quality is awesome.,ஈந்த மோபிலே சமேர ஃ'குஅலித்ய் ஸேம்மய இருகு।,Stay on the same mobile phone with the same quality.,
"Traffic la maatikiten, 10 mins late aagum.","I'm stuck in traffic, I'll be 10 minutes late.","ட்ரஃப்ஃபிச் ல மாதிகிதேந், ௧௦ மிந்ஸ் லதே ஆகும்।",Trafficch La Madhikitene is 10 mins Lathe.,
Nethu match la Dhoni performance vera level.,Dhoni's performance in yesterday's match was on another level.,ணேது மத்ச் ல டோநி பேர்ஃபோர்மந்சே வேர லேவேல்।,Tony's performance in the net match was very good.,
Intha area la house rent romba high.,House rent is very high in this area.,ஈந்த அரேஅ ல ஹோஉஸே ரேந்த் ரோம்ப ஹிக்।,Einda area la house rend rompa hig.,
Doctor appointment 6 maniku fix panniruken.,I have fixed the doctor's appointment for 6 PM.,டோச்தோர் அப்போஇந்த்மேந்த் ௬ மநிகு ஃபிக்ஷ் பந்நிருகேந்।,Dochthor apohindmenth ௬ maniku fiksh panniruken.,
College admission fees eppo pay pannanum?,When should the college admission fees be paid?,சோல்லேகே அத்மிஸ்ஸிஓந் ஃபீஸ் ஏப்போ பய் பந்நநும்?,Solleke admissionone fee apo pai pannanum?,
Intha food romba spicy ah iruku.,This food is very spicy.,ஈந்த ஃபூத் ரோம்ப ஸ்பிச்ய் அஹ் இருகு।,Enda futh rompa spichiy ah irugu.,
Flight ticket rate sudden ah eariiduchi.,Flight ticket rates increased suddenly.,Fலிக்த் திச்கேத் ரதே ஸுத்தேந் அஹ் ஏஅரீதுசி।,Flikt thikhet rathe suten ah aaredusi.,
"System hang aaguthu, restart pannanum.","The system is hanging, I need to restart it.","ஷ்ய்ஸ்தேம் ஹந்க் ஆகுது, ரேஸ்தர்த் பந்நநும்।",Shysthem is hunk and racedharth is male.,
Inniku climate romba cool ah iruku.,The climate is very cool today.,ஈந்நிகு ச்லிமதே ரோம்ப சூல் அஹ் இருகு।,Einiku chlimate rhomba chul ah irugu.,
Birthday party ku ellarayum invite panniya?,Did you invite everyone to the birthday party?,Bஇர்த்தய் பர்த்ய் கு ஏல்லரயும் இந்விதே பந்நிய?,Is this the same for everyone on birthdays?,
Intha song loop la kettu iruken.,I've been listening to this song on loop.,ஈந்த ஸோந்க் லூப் ல கேத்து இருகேந்।,Irukhen asked in the endah zonk loop.,
Salary innum credit aagala bro.,"The salary hasn't been credited yet, bro.",ஷலர்ய் இந்நும் ச்ரேதித் ஆகல ப்ரோ।,Shalari innum chredit agala pro.,
Gym ku poga start pannanum.,I need to start going to the gym.,ஃக³்ய்ம் கு போக ஸ்தர்த் பந்நநும்।,गुज्य कु फोका स्टर्थ बनननुम.,
Intha book romba interesting ah iruku.,This book is very interesting.,ஈந்த பூக் ரோம்ப இந்தேரேஸ்திந்க் அஹ் இருகு।,Einda buk romba inderestink ah iruku.,
Water bottle eduthutu vara maranthuten.,I forgot to bring the water bottle.,Wஅதேர் போத்த்லே ஏதுதுது வர மரந்துதேந்।,Wother botthle etutudtu vara died.,
Shift timing change aayiduchi.,The shift timing has changed.,ஷிஃப்த் திமிந்க் சந்கே ஆயிதுசி।,Shift Timing Sanke Aaidusi.,
Mobile recharge panna maranthuten.,I forgot to recharge my mobile.,ம்ஓபிலே ரேசர்கே பந்ந மரந்துதேந்।,Racerke panna maranduthen in mobile.,
Intha laptop battery backup nalla iruku.,This laptop's battery backup is good.,ஈந்த லப்தோப் பத்தேர்ய் பச்குப் நல்ல இருகு।,A good seat for the laptop.,
Interview eppo nu mail vanthuchi.,I received a mail about when the interview is.,ஈந்தேர்விஏவ் ஏப்போ நு மைல் வந்துசி।,Entervaev apo nu mile come.,
Movie ticket online la book panniya?,Did you book the movie ticket online?,ம்ஓவிஏ திச்கேத் ஓந்லிநே ல பூக் பந்நிய?,MOVA THICKET ONLINE LA BOOQ BANNYA?,
Inniku lunch box pack panna time illa.,There was no time to pack the lunch box today.,ஈந்நிகு லுந்ச் போக்ஷ் பச்க் பந்ந திமே இல்ல।,Einniku lunch boksh bachk panna thime illa.,
Heavy rain nala match cancel aayiduchi.,The match was cancelled due to heavy rain.,ஃஏஅவ்ய் ரைந் நல மத்ச் சந்சேல் ஆயிதுசி।,Fay Rain Nala Match Sansel Aidusi.,
Weekend plan enna nanba?,"What is the weekend plan, friend?",Wஈகேந்த் ப்லந் ஏந்ந நந்ப?,Why WeKend Plan?,
Parcel innum delivery aagala.,The parcel has not been delivered yet.,Pஅர்சேல் இந்நும் தேலிவேர்ய் ஆகல।,Arsale is not a delivery company.,
Intha shop la tea semmaya irukum.,The tea in this shop will be excellent.,ஈந்த ஶோப் ல தேஅ ஸேம்மய இருகும்।,Tea will be available in the shop.,
Exam ku prepare aaga innum time venum.,I need more time to prepare for the exam.,Eக்ஷம் கு ப்ரேபரே ஆக இந்நும் திமே வேநும்।,This is the time to prepare for Eksham.,
Power bank charge la puda maranthuten.,I forgot to put the power bank on charge.,Pஓவேர் பந்க் சர்கே ல புத மரந்துதேந்।,Pover Bank Sirke la Budha Maranthudhen.,
Intha phone cover nalla protect pannuthu.,This phone cover protects well.,ஈந்த போநே சோவேர் நல்ல ப்ரோதேச்த் பந்நுது।,Einda Bone Sower is a good Prothech Pannudu.,
Inniku evening cricket vilayada polama?,Shall we go to play cricket this evening?,ஈந்நிகு ஏவேநிந்க் ச்ரிச்கேத் விலயத போலம?,Einniku aveninink chrichketh wilayata bolama?,
Wifi connection romba slow ah iruku.,The wifi connection is very slow.,Wஇஃபி சோந்நேச்திஓந் ரோம்ப ஸ்லோவ் அஹ் இருகு।,Wifi sonnechtion rompa slov ah iruku.,
Intha movie climax yarum ethir paakala.,No one expected this movie's climax.,ஈந்த மோவிஏ ச்லிமக்ஷ் யரும் ஏதிர் பாகல।,Einda mova chlimaksh yarum etir bagala.,
Office meeting cancel aayiduchi nu sonnanga.,They said the office meeting has been cancelled.,Oஃப்ஃபிசே மீதிந்க் சந்சேல் ஆயிதுசி நு ஸோந்நந்க।,Officie methink sansel aaidusi nu sonnanda.,
New year celebration ku plan enna?,What is the plan for the New Year celebration?,ணேவ் யேஅர் சேலேப்ரதிஓந் கு ப்லந் ஏந்ந?,What are you planning to celebrate this year?,
Intha dress color unaku match aagala.,This dress color doesn't match you.,ஈந்த த்ரேஸ்ஸ் சோலோர் உநகு மத்ச் ஆகல।,Eanda threads are not a match for Solor.,
Online classes kavanika mudiyala.,I am unable to pay attention to online classes.,Oந்லிநே ச்லஸ்ஸேஸ் கவநிக முதியல।,Online classes are very important.,
Laptop bag la chain stuck aayiduchi.,The zipper on the laptop bag got stuck.,ளப்தோப் பக் ல சைந் ஸ்துச்க் ஆயிதுசி।,Laptop Bag La Sain Stuchk Aidusi.,
Intha song lyrics romba deep ah iruku.,The lyrics of this song are very deep.,ஈந்த ஸோந்க் ல்ய்ரிச்ஸ் ரோம்ப தீப் அஹ் இருகு।,Eanda Zonk Lyrichs Rompa Deep Ah Iruku.,
Rainy season start aaga poguthu pola.,It looks like the rainy season is about to start.,றைந்ய் ஸேஅஸோந் ஸ்தர்த் ஆக போகுது போல।,Like the season is about to start.,
Headphones sound quality check pannanum.,I need to check the headphones' sound quality.,ஃஏஅத்போநேஸ் ஸோஉந்த் ஃ'குஅலித்ய் சேச்க் பந்நநும்।,Faeathbones sound f'quality sechk pannanum.,
Google drive la space illa nu varuthu.,It says there is no space in Google Drive.,ஃக³ூக்லே த்ரிவே ல ஸ்பசே இல்ல நு வருது।,There is no spase in the three way.,
Intha product delivery charge romba high.,The delivery charge for this product is very high.,ஈந்த ப்ரோதுச்த் தேலிவேர்ய் சர்கே ரோம்ப ஹிக்।,Einda produchth teliveryi sarke rompa hig.,
Evening walk poga romba relax ah iruku.,It feels very relaxing to go for an evening walk.,Eவேநிந்க் வல்க் போக ரோம்ப ரேலக்ஷ் அஹ் இருகு।,Evenink vulk go romba relaksh ah iruku.,
Mobile screen glass break aayiduchi.,The mobile screen glass got broken.,ம்ஓபிலே ஸ்ச்ரீந் க்லஸ்ஸ் ப்ரேஅக் ஆயிதுசி।,Mobile screen classes break aid.,
Next week trip ku ready aagiko.,Get ready for the trip next week.,ணேக்ஷ்த் வீக் த்ரிப் கு ரேஅத்ய் ஆகிகோ।,Next week trip to Rayathy Akiko.,
"hi makale,nanu enoda friends um oru tamil tech podcast panitu irkom","Hi guys, my friends and I are doing a Tamil tech podcast.","ஹி மக்கலே,நநு ஏநோத ஃப்ரிஏந்த்ஸ் உம் ஓரு தமில் தேச் போத்சஸ்த் பநிது இர்கோம்",,Phonetic_Variation
"vanakkam makkale,naanu enoda friends um oru tamil tech podcast panitu irkom","Hi guys, my friends and I are doing a Tamil tech podcast.","ஹி மக்கலே,நநு ஏநோத ஃப்ரிஏந்த்ஸ் உம் ஓரு தமில் தேச் போத்சஸ்த் பநிது இர்கோம்",,Slang_Replacement
"hi makkale,nanu enoda friends um oru tamil tech podcast panitu irkom","Hi guys, my friends and I are doing a Tamil tech podcast.","ஹி மக்கலே,நநு ஏநோத ஃப்ரிஏந்த்ஸ் உம் ஓரு தமில் தேச் போத்சஸ்த் பநிது இர்கோம்",,Lexical_Loan_Words
"hi makkale,nanu enoda friends um oru tamil tech podcast panitu irkom please","Hi guys, my friends and I are doing a Tamil tech podcast. (polite)","ஹி மக்கலே,நநு ஏநோத ஃப்ரிஏந்த்ஸ் உம் ஓரு தமில் தேச் போத்சஸ்த் பநிது இர்கோம்",,Style_Variation
"wikipedia vin dhrogam, stackoverflow outage, amazon aga podhu oru ISP aa","Wikipedia's betrayal, stackoverflow outage, is Amazon going to become an ISP?","விகிபேதிஅ விந் த்ரோகம், ஸ்தச்கோவேர்ஃப்லோவ் ஓஉதகே, அமஃஜோந் அக போது ஓரு ஈஷ்P ஆ",,Phonetic_Variation
"wikipedia vin dhrogam, stackoverflow outage, amazon aga podhu oru ISP aa","Wikipedia's betrayal, stackoverflow outage, is Amazon going to become an ISP?","விகிபேதிஅ விந் த்ரோகம், ஸ்தச்கோவேர்ஃப்லோவ் ஓஉதகே, அமஃஜோந் அக போது ஓரு ஈஷ்P ஆ",,Slang_Replacement
"wikipedia vin dhrogam, stackoverflow outage, amazon aga podhu oru ISP aa","Wikipedia's betrayal, stackoverflow outage, is Amazon going to become an ISP?","விகிபேதிஅ விந் த்ரோகம், ஸ்தச்கோவேர்ஃப்லோவ் ஓஉதகே, அமஃஜோந் அக போது ஓரு ஈஷ்P ஆ",,Lexical_Loan_Words
"wikipedia vin dhrogam, stackoverflow outage, amazon aga podhu oru ISP aa please","Wikipedia's betrayal, stackoverflow outage, is Amazon going to become an ISP? (polite)","விகிபேதிஅ விந் த்ரோகம், ஸ்தச்கோவேர்ஃப்லோவ் ஓஉதகே, அமஃஜோந் அக போது ஓரு ஈஷ்P ஆ",,Style_Variation
"Adhu fog ila murugesa, smog.","That's not fog Murugesa, it's smog.","ஆது ஃபோக் இல்ல முருகேஸ, ஸ்மோக்।",,Phonetic_Variation
"Adhu fog illa murugesa, smog.","That's not fog Murugesa, it's smog.","ஆது ஃபோக் இல்ல முருகேஸ, ஸ்மோக்।",,Slang_Replacement
"Adhu fog illa murugesa, smog.","That's not fog Murugesa, it's smog.","ஆது ஃபோக் இல்ல முருகேஸ, ஸ்மோக்।",,Lexical_Loan_Words
"Adhu fog illa murugesa, smog. please","That's not fog Murugesa, it's smog. (polite)","ஆது ஃபோக் இல்ல முருகேஸ, ஸ்மோக்।",,Style_Variation
Ena bro Kilambakam la kaanum...,"What bro, you are not to be seen at Kilambakkam...",Eந ப்ரோ ஃக²ிலம்பக்கம் ல காநும்॥।,,Phonetic_Variation
Ena nanba Kilambakkam la kaanum...,"What bro, you are not to be seen at Kilambakkam...",Eந ப்ரோ ஃக²ிலம்பக்கம் ல காநும்॥।,,Slang_Replacement
Ena bro Kilambakkam la kaanum...,"What bro, you are not to be seen at Kilambakkam...",Eந ப்ரோ ஃக²ிலம்பக்கம் ல காநும்॥।,,Lexical_Loan_Words
Ena bro Kilambakkam la kaanum... please,"What bro, you are not to be seen at Kilambakkam... (polite)",Eந ப்ரோ ஃக²ிலம்பக்கம் ல காநும்॥।,,Style_Variation
1.5 x speed la vechu paakura Madhiri iruku,It feels like watching at 1.5x speed.,௧।௫ க்ஷ் ஸ்பீத் ல வேசு பாகுர ம்அதிரி இருகு,,Phonetic_Variation
1.5 x speed la vechu paakura Madvanakkamri iruku,It feels like watching at 1.5x speed.,௧।௫ க்ஷ் ஸ்பீத் ல வேசு பாகுர ம்அதிரி இருகு,,Slang_Replacement
1.5 x speed la vechu paakura Madhiri iruku,It feels like watching at 1.5x speed.,௧।௫ க்ஷ் ஸ்பீத் ல வேசு பாகுர ம்அதிரி இருகு,,Lexical_Loan_Words
1.5 x speed la vechu paakura Madhiri iruku please,It feels like watching at 1.5x speed. (polite),௧।௫ க்ஷ் ஸ்பீத் ல வேசு பாகுர ம்அதிரி இருகு,,Style_Variation
Anda video vera level-la iruku,That video is on another level.,ஆந்த விதேஓ வேர லேவேல்-ல இருகு,,Phonetic_Variation
Antha video vera level-la iruku,That video is on another level.,ஆந்த விதேஓ வேர லேவேல்-ல இருகு,,Slang_Replacement
Antha video super-la iruku,That video is on another level.,ஆந்த விதேஓ வேர லேவேல்-ல இருகு,,Lexical_Loan_Words
Antha video vera level-la iruku please,That video is on another level. (polite),ஆந்த விதேஓ வேர லேவேல்-ல இருகு,,Style_Variation
Eduku bro ivlo tension aguringa?,"Why are you getting so tense, bro?",Eதுகு ப்ரோ இவ்லோ தேந்ஸிஓந் அகுரிந்க?,,Phonetic_Variation
Ethuku nanba ivlo tension aguringa?,"Why are you getting so tense, bro?",Eதுகு ப்ரோ இவ்லோ தேந்ஸிஓந் அகுரிந்க?,,Slang_Replacement
Ethuku bro ivlo angry aguringa?,"Why are you getting so tense, bro?",Eதுகு ப்ரோ இவ்லோ தேந்ஸிஓந் அகுரிந்க?,,Lexical_Loan_Words
Ethuku bro ivlo tension aguringa? please,"Why are you getting so tense, bro? (polite)",Eதுகு ப்ரோ இவ்லோ தேந்ஸிஓந் அகுரிந்க?,,Style_Variation
Nala iruku but innum improve pannalam,It's good but can be improved more.,ணல்ல இருகு புத் இந்நும் இம்ப்ரோவே பந்நலம்,,Phonetic_Variation
Nalla iruku but innum improve pannalam,It's good but can be improved more.,ணல்ல இருகு புத் இந்நும் இம்ப்ரோவே பந்நலம்,,Slang_Replacement
Nalla iruku but innum improve pannalam,It's good but can be improved more.,ணல்ல இருகு புத் இந்நும் இம்ப்ரோவே பந்நலம்,,Lexical_Loan_Words
Nalla iruku but innum improve pannalam please,It's good but can be improved more. (polite),ணல்ல இருகு புத் இந்நும் இம்ப்ரோவே பந்நலம்,,Style_Variation
Inda logic enaku puriyala,I don't understand this logic.,ஈந்த லோகிச் ஏநகு புரியல,,Phonetic_Variation
Intha logic enaku puriyala,I don't understand this logic.,ஈந்த லோகிச் ஏநகு புரியல,,Slang_Replacement
Intha point enaku puriyala,I don't understand this logic.,ஈந்த லோகிச் ஏநகு புரியல,,Lexical_Loan_Words
Intha logic enaku puriyala please,I don't understand this logic. (polite),ஈந்த லோகிச் ஏநகு புரியல,,Style_Variation
Waiting for de next update nanba,"Waiting for the next update, friend.",Wஐதிந்க் ஃபோர் தே நேக்ஷ்த் உப்ததே நந்ப,,Phonetic_Variation
Waiting for the next update nanba,"Waiting for the next update, friend.",Wஐதிந்க் ஃபோர் தே நேக்ஷ்த் உப்ததே நந்ப,,Slang_Replacement
Waiting for the next update nanba,"Waiting for the next update, friend.",Wஐதிந்க் ஃபோர் தே நேக்ஷ்த் உப்ததே நந்ப,,Lexical_Loan_Words
Waiting for the next update nanba please,"Waiting for the next update, friend. (polite)",Wஐதிந்க் ஃபோர் தே நேக்ஷ்த் உப்ததே நந்ப,,Style_Variation
Semma fun ah irunduchi inniku session,Today's session was very fun.,ஷேம்ம ஃபுந் அஹ் இருந்துசி இந்நிகு ஸேஸ்ஸிஓந்,,Phonetic_Variation
Semma fun ah irunthucvanakkam inniku session,Today's session was very fun.,ஷேம்ம ஃபுந் அஹ் இருந்துசி இந்நிகு ஸேஸ்ஸிஓந்,,Slang_Replacement
Semma fun ah irunthuchi inniku session,Today's session was very fun.,ஷேம்ம ஃபுந் அஹ் இருந்துசி இந்நிகு ஸேஸ்ஸிஓந்,,Lexical_Loan_Words
Semma fun ah irunthuchi inniku session please,Today's session was very fun. (polite),ஷேம்ம ஃபுந் அஹ் இருந்துசி இந்நிகு ஸேஸ்ஸிஓந்,,Style_Variation
"Oru chinna doubt, idu eppidi work aagum?","A small doubt, how does this work?","Oரு சிந்ந தோஉப்த், இது ஏப்பிதி வோர்க் ஆகும்?",,Phonetic_Variation
